society,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,BHK,Location,Total Floors,Servant_Room,Study_Room,Pooja_Room,Store_Room,Carpet_Area,Built_Up_Area,Super_BuiltUp_Area,piped_gas,waste_disposal,shopping_centre,intercom,power_backup,central_ac,wifi,garden,community,staff,water_storage,visitor_parking,lift,vaastu,security,swimming,gym,luxury_score,Hospital,Mall,Mandir/Church,ATM,Bank,School,College,Metro Station,Airport,Hotel,AC,Wardrobe,Microwave,Fridge,Stove,Curtains,Water Purifier,TV,Modular Kitchen,Geyser,Dining Table,Washing Machine,Exhaust Fan,Chimney,Light,Sofa,Fan,Bed,furnishing_type,area
Shree Vardhman Flora,75.0,5769.0,2.0,2.0,3.0,8.0,North-East,Undefined,2, Sector 90 Gurgaon,8.0,0,0,0,0,1300.0,,,,,,,,,,,,,,,,,,,,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130005200208008
Supertech Hues,82.0,6950.0,2.0,2.0,3.0,21.0,,Under Construction,2, Sector 68 Gurgaon,24.0,0,0,0,0,,,1180.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,34,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117985611510791
Chintels Paradiso,180.0,8866.0,3.0,3.0,2.0,0.0,East,Moderately Old,3, Sector 109 Gurgaon,11.0,1,0,0,0,1785.0,,2030.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,38,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203022783667944
Breez Global Hill View,29.99,5403.0,2.0,2.0,2.0,6.0,North-East,New Property,2, Sohna,19.0,0,0,0,0,555.0,,655.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,36,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055506200259115
ILD Greens,78.0,5714.0,2.0,2.0,3.0,1.0,North,Moderately Old,2, Sector 37C Gurgaon,19.0,0,0,0,0,900.0,1068.1,1365.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,37,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0.0136506825341267
Ansal Sushant Lok CI,200.0,15151.0,3.0,3.0,2.0,1.0,North,Old Property,3, Sector 43 Gurgaon,3.0,1,0,0,0,1320.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0,5,0,0,0,1,0,2,0,3,1,0,0,0,0,0,0,0,1,0.0132004488152597
Ashiana Mulberry,74.0,6200.0,2.0,2.0,3.0,12.0,North-West,New Property,2, Sohna,17.0,0,0,0,0,1210.0,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,47,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0119354838709677
Godrej Meridien,320.0,16000.0,3.0,3.0,3.0,6.0,,Under Construction,3, Sector 106 Gurgaon,24.0,1,0,0,0,2002.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02
Mapsko Casa Bella,130.0,6378.0,4.0,4.0,3.0,1.0,North,Relatively New,4, Sector 82 Gurgaon,25.0,1,0,0,0,,,1960.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203825650674192
Pooja Apartment,25.0,3571.0,2.0,2.0,2.0,2.0,East,Relatively New,2, Ashok Vihar Phase 3 Extension,4.0,0,0,0,0,700.0,,,,,,,,,,,,,,,,,,,,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.007000840100812
Signature Global Park,95.0,7846.0,3.0,2.0,3.0,1.0,,Relatively New,3, Sohna,4.0,0,0,0,0,756.6,1210.73,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,22,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012108080550599
DLF New Town Heights ,199.0,7297.0,4.0,4.0,3.0,9.0,East,Relatively New,4, Sector 90 Gurgaon,29.0,1,0,1,0,2727.0,,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,2,0.0272714814307249
Paras Dews,105.0,7581.0,2.0,2.0,2.0,5.0,West,New Property,2, Sector 106 Gurgaon,8.0,0,0,0,0,1385.0,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,53,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0138504155124653
Godrej Air,183.0,10005.0,3.0,3.0,3.0,18.0,,Under Construction,3, Sector 85 Gurgaon,32.0,0,0,0,0,1829.0,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,48,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0182908545727136
DLF The Primus,225.0,10714.0,3.0,3.0,3.0,29.0,East,Relatively New,3, Sector 82A Gurgaon,31.0,1,0,0,0,2100.0,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,3,1,1,1,0,1,0,1,4,0,0,0,0,0,0,0,0,1,0.0210005600149337
Emaar MGF Emerald Floors Premier,280.0,16969.0,3.0,3.0,3.0,3.0,,Relatively New,3, Sector 65 Gurgaon,5.0,1,1,0,0,1650.0,,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0.0165006777064058
DLF Regency Park ,160.0,14545.0,2.0,2.0,2.0,3.0,North,Relatively New,2, DLF Phase 4,26.0,0,0,0,0,1100.0,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,24,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110003437607425
Supertech Araville,83.0,5424.0,2.0,2.0,3.0,5.0,North-East,New Property,2, Sector 79 Gurgaon,18.0,0,1,0,0,1530.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0.0153023598820059
Signature Global Park,83.0,7410.0,3.0,2.0,2.0,1.0,,New Property,3, Sohna,4.0,0,0,0,0,1120.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,9,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112010796221322
Maxworth City Residences,80.0,6400.0,2.0,3.0,2.0,9.0,,New Property,2, Sector 10A Gurgaon,12.0,0,0,0,0,1250.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0125
Deepak Minda,125.0,4715.0,4.0,4.0,3.0,6.0,,Moderately Old,4, Sector 1A IMT Manesar,10.0,0,0,0,0,2651.0,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0265111346765641
Shree Shyam residency,23.0,5000.0,1.0,1.0,1.0,2.0,South,Relatively New,1, Block A Surya Vihar,4.0,0,0,0,0,460.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0046
Pivotal Devaan,30.0,6666.0,1.0,1.0,1.0,14.0,,New Property,1, Sector 84 Gurgaon,14.0,0,0,0,0,450.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,13,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0045004500450045
Unitech The Residences,155.0,9872.0,3.0,4.0,1.0,1.0,South,Relatively New,3, Sector 33 Gurgaon,11.0,1,0,0,0,,,1570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,20,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157009724473257
